map,tick,killer_steamid,killer,kill_victim_steamid,weapon,attacker_X,attacker_Y,attacker_Z,victim_X,victim_Y,victim_Z,enemy_visible,viewX,viewY,aimDelta,distance,log_aimDelta,aimDelta_diff
de_dust2,12008,7.656119796027949e+16,Alter Mann mit Glatze,76561199092589700,glock,-1587.2821044921875,1143.1622314453125,33.5355110168457,-1745.977294921875,381.0864562988281,1.3603410720825195,True,95.2532,-0.5541,0.5744,779.0885008082228,0.45387424731585196,0.0
de_dust2,12210,7.656119796027949e+16,Alter Mann mit Glatze,76561198128564000,glock,-1184.5452880859375,1063.0115966796875,2.417154550552368,-1061.8277587890625,1347.536865234375,-111.7452392578125,False,94.4275,-0.6489,0.0,330.22306491658424,0.0,-0.45387424731585196
de_dust2,15023,7.656119796027949e+16,Alter Mann mit Glatze,76561197985457300,deagle,-237.3143310546875,466.5499267578125,-1.86871337890625,-167.8433837890625,1440.313720703125,-0.21240234375,True,-102.6470,0.5936,0.4697,976.2401765339293,0.38505829833050176,0.38505829833050176
de_dust2,32442,7.656119796027949e+16,Alter Mann mit Glatze,76561197985457300,ak47,332.29559326171875,1425.2952880859375,0.1944761276245117,437.1080322265625,2119.266357421875,95.86658477783205,True,174.2974,2672116,0.8118,708.3322982969228,0.5943208262530504,0.20926252792254862
de_dust2,32883,7.656119796027949e+16,Alter Mann mit Glatze,76561198128564000,ak47,356.5456237792969,2370.841064453125,95.7585678100586,1773.689697265625,1882.196533203125,2.469274044036865,True,-77.8330,-3.5091,0.4495,1501.9233320210851,0.37121866937957315,-0.22310215687347723
de_dust2,71908,7.656119796027949e+16,Alter Mann mit Glatze,76561198128564000,ak47,-23.52996826171875,1406.908935546875,-0.42315673828125,401.26507568359375,1561.4222412109375,2.536859035491944,True,-125.4601,2897074,275030.0,452.03313228248766,12.524639097568194,12.153420428188621
de_dust2,73026,7.656119796027949e+16,Alter Mann mit Glatze,76561199129950300,ak47,1275.5889892578125,2888.11328125,127.97097778320312,1308.5477294921875,1420.6419677734375,1.03125,True,2353045,-6.3316,0.8348,1473.32007008801,0.6069354837408799,-11.917703613827314
de_dust2,74021,7.656119796027949e+16,Alter Mann mit Glatze,76561199092589700,ak47,1074.498291015625,2606.322265625,96.51703643798828,1511.3568115234375,1226.4967041015625,-5.2236328125,True,57.0994,778242,675732.0,1450.9014821666156,13.423553306589541,12.816617822848661
de_dust2,90649,7.656119796027949e+16,Alter Mann mit Glatze,76561198128564000,usp_silencer,1510.6807861328125,1754.411376953125,-3.29644775390625,895.1339721679688,2586.4296875,95.02578735351562,True,-65.4298,-7.3705,0.0766,1039.624745369244,0.07380792714471986,-13.34974537944482
de_dust2,96335,7.656119796027949e+16,Alter Mann mit Glatze,76561197966870100,m4a1_silencer,1256.0687255859375,2900.85009765625,127.85892486572266,1325.5399169921875,1092.97314453125,-6.78228759765625,True,-21.1456,2250048,0.74,1814.2143148397727,0.5538851132264376,0.4800771860817178
de_dust2,96401,7.656119796027949e+16,Alter Mann mit Glatze,76561198128564000,m4a1_silencer,1240.572021484375,2901.946044921875,127.8655242919922,1355.6383056640625,848.10791015625,-8.81695556640625,True,126.7943,-5.8080,0.5736,2061.594876272422,0.4533659880927122,-0.1005191251337254
de_dust2,99169,7.656119796027949e+16,Alter Mann mit Glatze,76561199129950300,m4a1_silencer,1498.5091552734375,3024.905029296875,122.1847152709961,1211.12548828125,881.3274536132812,-0.41754150390625,True,-130.2106,2.0623,0.0539,2166.2284063306274,0.05249756895775399,-0.40086841913495824
de_dust2,99605,7.656119796027949e+16,Alter Mann mit Glatze,76561197985457300,m4a1_silencer,1334.83349609375,3007.821044921875,129.03125,1291.336181640625,1367.3670654296875,1.0312519073486328,True,-154.0417,-0.3660,1.122,1646.0149679477727,0.7523590401917915,0.6998614712340374
de_dust2,120260,7.656119796027949e+16,Alter Mann mit Glatze,76561199129950300,mp9,-173.29998779296875,1441.3680419921875,-0.19134521484375,-160.3546142578125,973.37841796875,1.4625978469848633,True,102.2515,-3.4051,0.0,468.17155660848823,0.0,-0.7523590401917915
de_dust2,120847,7.656119796027949e+16,Alter Mann mit Glatze,76561197966870100,ak47,-424.9593505859375,1694.0738525390625,-125.62445068359376,-599.58544921875,2331.19140625,-112.3775634765625,False,-95.7393,1589903,0.018,660.7484631771775,0.017839918128331,0.017839918128331
de_dust2,19756,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561198190202200,usp_silencer,918.38525390625,2046.4276123046875,-18.37799072265625,488.8483581542969,2500.660400390625,95.77049255371094,True,67.1859,20.6361,39814.0,635.4992107145716,10.591999004691544,0.0
de_dust2,25716,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561198097081700,ak47,-563.7398071289062,2381.922607421875,-102.81866455078124,-168.46246337890625,528.96826171875,-0.0733642578125,True,36.9017,1206429,0.0,1897.4299940905446,0.0,-10.591999004691544
de_dust2,41562,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561197960279400,m4a1_silencer,-500.9661865234375,1926.040283203125,-121.8455810546875,-170.71783447265625,813.6219482421875,1.7342171669006348,True,-19.0712,2052389,0.3351,1166.966363061939,0.28900619541391226,0.28900619541391226
de_dust2,57424,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561199353783800,m4a1_silencer,-473.77874755859375,1215.7685546875,-104.8056640625,-186.55157470703125,1158.03271484375,-0.69915771484375,True,-55.6385,1644355,0.5044,310.919669192348,0.40839414761404425,0.11938795220013199
de_dust2,58188,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561198190202200,awp,-203.4906005859375,1244.7139892578125,0.2849259376525879,383.9177856445313,1582.2867431640625,2.999422073364258,True,108.7125,14.3615,0.206,677.5037600508236,0.1873090983049937,-0.22108504930905054
de_dust2,95571,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561199146301600,mac10,743.8033447265625,1056.4107666015625,0.3520998954772949,1540.430419921875,1072.729248046875,1.0312519073486328,True,-89.9166,-1.9535,0.7687,796.7944848066999,0.570244813458611,0.3829357151536173
de_dust2,108454,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561197960279400,m4a1_silencer,426.5523986816406,2481.249267578125,-119.95037841796876,454.28363037109375,2286.962158203125,-118.96875,True,-51.3353,-8.8845,0.6967,196.25867031715646,0.5286851880667568,-0.041559625391854205
de_dust2,120205,7.656119796687011e+16,[QMR.Easy]-Blyatman,76561198097081700,p90,-1376.660888671875,2167.396484375,2.055819034576416,-813.7147216796875,2363.920654296875,-81.3094482421875,True,-147.6384,1314934,0.2889,602.0630399574485,0.2537891414285968,-0.27489604663816
de_ancient,3576,7.656119797375781e+16,arrozdoce,76561197995817500,glock,1056.3963623046875,135.35003662109375,133.56976318359375,781.938720703125,154.83865356445312,130.03125,True,-91.3616,1698135,0.0,275.17144528349445,0.0,0.0
de_ancient,3639,7.656119797375781e+16,arrozdoce,76561198014259100,glock,1062.444091796875,55.47040939331055,130.90110778808594,1095.30859375,208.366943359375,131.03839111328125,True,77.3317,-7.1511,1.1755,156.38876057496662,0.7772585231785978,0.7772585231785978
de_ancient,5314,7.656119797375781e+16,arrozdoce,76561198044045100,glock,849.002197265625,-61.23565673828125,130.03125,1389.889404296875,590.7334594726562,131.91188049316406,True,-178.9604,1757822,0.5214,847.1282287788484,0.4196309635810637,-0.35762755959753406
de_ancient,9998,7.656119797375781e+16,arrozdoce,76561197995817500,ak47,-1451.445068359375,-1542.477294921875,-19.96875,-1845.4267578125,-310.7784423828125,72.23169708251953,True,103.3096,226118,966434.0,1296.4584672917981,13.781369322394289,13.361738358813225
de_dust2,15416,7.656119797375781e+16,arrozdoce,76561198014259100,deagle,998.5542602539062,2038.054443359375,-1.4649658203125,1347.8770751953125,2087.06982421875,-5.5145263671875,True,74.1076,1342327,362323.0,352.768104482251,12.800294118133827,-0.9810752042604616
de_train,17254,7.656119797375781e+16,,76561197973757800,world,-1955.0,1326.0,-171.96875,-1955.0,1326.0,-171.96875,False,-78.7071,3.0058,0.1428,0.0,0.13348139137448095,-12.666812726759346
de_train,30232,7.656119797375781e+16,arrozdoce,76561198014259100,ak47,-324.58367919921875,286.53857421875,-215.96875,-76.88604736328125,429.3144226074219,-215.96875,False,-50.2010,2095124,0.0,285.9004366912311,0.0,-0.13348139137448095
de_ancient,33045,7.656119797375781e+16,arrozdoce,76561198080114500,m4a1_silencer,-1306.5601806640625,594.7385864257812,73.03125,-1753.128662109375,543.9172973632812,73.03125,False,-33.6340,930761,0.9019,449.45101183816087,0.6428533865054784,0.6428533865054784
de_train,34244,7.656119797375781e+16,arrozdoce,76561198014259100,galilar,927.949462890625,1531.9903564453125,-209.96875,1109.4423828125,1223.7486572265625,-215.96875,False,101.7101,0.5105,0.0,357.75497916734923,0.0,-0.6428533865054784
de_train,35243,7.656119797375781e+16,arrozdoce,76561198055109000,galilar,1027.109375,1450.5892333984375,-214.96875,1017.0709228515624,1035.5428466796875,-215.96875,True,1084804,2345375,1477073.0,415.1689699987544,14.205573661815686,14.205573661815686
de_train,43769,7.656119797375781e+16,arrozdoce,76561198055109000,ak47,-271.0667724609375,1730.50634765625,-210.24017333984372,1124.3004150390625,1492.6162109375,-215.96875,True,-12.0613,1505014,0.0,1415.5119645168236,0.0,-14.205573661815686
de_train,44567,7.656119797375781e+16,arrozdoce,76561198014259100,ak47,983.3487548828124,1536.02685546875,-215.96875,1076.0845947265625,1186.6788330078125,-215.96875,True,78.3020,2629595,0.0,361.4470594553141,0.0,0.0
de_dust2,55363,7.656119797375781e+16,arrozdoce,76561197995817500,m4a1_silencer,1114.3931884765625,2526.579833984375,96.03124237060548,559.7803344726562,2448.561279296875,97.1539306640625,True,125.0354,-0.3629,0.1088,560.0746138961209,0.10327834945350173,0.10327834945350173
de_dust2,55501,7.656119797375781e+16,arrozdoce,76561198080114500,m4a1_silencer,1167.5240478515625,2427.499755859375,96.22322082519533,312.7773742675781,2115.308837890625,97.79052734375,True,-8.3438,0.7021,1109244.0,909.9766489942367,13.91919016168085,13.815911812227348
